Primary,Model,Energy,Theta_Range,A1_UMD_REC,Err_UMD_REC,A1_UMD_MC,Err_UMD_MC,A1_SD_REC,Err_SD_REC,Theta_Bin_Idx
Helio,EPOS,18.0,0.3-16.2,0.0296,0.0019,0.0321,0.0018,0.0137,0.0015,0
Helio,EPOS,18.0,16.2-23.3,0.0501,0.0019,0.0553,0.0019,0.0321,0.0016,1
Helio,EPOS,18.0,23.3-29.0,0.0657,0.0019,0.0739,0.0019,0.0546,0.0016,2
Helio,EPOS,18.0,29.0-34.0,0.0754,0.002,0.0843,0.0019,0.074,0.0016,3
Helio,EPOS,18.0,34.0-38.7,0.0903,0.002,0.0999,0.0019,0.0972,0.0016,4
Helio,EPOS,18.0,38.7-43.2,0.0948,0.002,0.1059,0.002,0.1202,0.0017,5
Helio,EPOS,18.0,43.2-47.7,0.0945,0.0021,0.1085,0.002,0.1322,0.0018,6
Helio,EPOS,18.0,47.7-52.3,0.0915,0.0021,0.1057,0.002,0.133,0.0018,7
Helio,EPOS,18.0,52.3-57.0,0.0861,0.0022,0.1026,0.0021,0.116,0.002,8
Helio,EPOS,18.0,57.0-62.2,0.0688,0.0024,0.0867,0.0023,0.0761,0.0021,9
Helio,QGSJet,17.5,0.1-16.8,0.0204,0.0024,0.0231,0.0023,0.0183,0.0016,0
Helio,QGSJet,17.5,16.8-24.1,0.0451,0.0024,0.051,0.0023,0.0452,0.0016,1
Helio,QGSJet,17.5,24.1-30.0,0.0631,0.0024,0.0698,0.0024,0.0702,0.0017,2
Helio,QGSJet,17.5,30.0-35.2,0.0687,0.0024,0.0771,0.0023,0.0894,0.0017,3
Helio,QGSJet,17.5,35.2-40.1,0.0783,0.0024,0.0879,0.0023,0.1125,0.0017,4
Helio,QGSJet,17.5,40.1-44.9,0.0821,0.0026,0.0944,0.0025,0.1307,0.0018,5
Helio,QGSJet,17.5,44.9-49.7,0.0873,0.0027,0.0995,0.0026,0.1375,0.002,6
Helio,QGSJet,17.5,49.7-54.6,0.0873,0.003,0.1023,0.0029,0.129,0.0022,7
Helio,QGSJet,17.5,54.6-59.9,0.0779,0.0036,0.092,0.0034,0.0815,0.0025,8
Helio,QGSJet,17.5,59.9-65.7,0.0758,0.0057,0.0945,0.0054,0.0539,0.0038,9
Helio,SIBYLL,17.5,0.2-16.7,0.021,0.0023,0.0239,0.0022,0.0202,0.0016,0
Helio,SIBYLL,17.5,16.7-24.0,0.0433,0.0023,0.0505,0.0022,0.0436,0.0016,1
Helio,SIBYLL,17.5,24.0-29.8,0.0579,0.0024,0.0657,0.0023,0.0661,0.0017,2
