Primary,Model,Energy,Theta_Range,A1_UMD,Err_UMD,A1_MC,Err_MC,A1_SD,Err_SD,Bin_Idx
Hierro,SIBYLL,17.5,0.5-21.7,0.0275,0.0015,0.0309,0.0015,0.0306,0.0012,0
Hierro,SIBYLL,17.5,21.7-31.6,0.0522,0.0024,0.0591,0.0024,0.064,0.0025,1
Hierro,SIBYLL,17.5,31.6-39.9,0.0654,0.0021,0.0745,0.002,0.0941,0.0027,2
Hierro,SIBYLL,17.5,39.9-47.7,0.0749,0.0018,0.0862,0.002,0.1104,0.0032,3
Hierro,SIBYLL,17.5,47.7-55.8,0.0742,0.0015,0.087,0.0015,0.098,0.0019,4
Hierro,SIBYLL,17.5,55.8-65.0,0.0728,0.0022,0.0876,0.0024,0.0572,0.0028,5
Helio,QGSJet,17.5,0.1-21.7,0.0296,0.001,0.0334,0.0012,0.0275,0.0012,0
Helio,QGSJet,17.5,21.7-31.6,0.0617,0.0019,0.0688,0.0019,0.0705,0.0025,1
Helio,QGSJet,17.5,31.6-39.9,0.0743,0.0026,0.0833,0.0029,0.1032,0.0032,2
Helio,QGSJet,17.5,39.9-47.7,0.0829,0.0031,0.0951,0.0031,0.1307,0.0046,3
Helio,QGSJet,17.5,47.7-55.8,0.086,0.0019,0.1004,0.0017,0.1282,0.0023,4
Helio,QGSJet,17.5,55.8-65.0,0.0755,0.0024,0.0909,0.0023,0.0654,0.0028,5
Helio,EPOS,18.0,0.3-21.2,0.0367,0.0157,0.04,0.0152,0.019,0.0064,0
Helio,EPOS,18.0,21.2-30.7,0.0645,0.015,0.0725,0.0145,0.0544,0.0046,1
Helio,EPOS,18.0,30.7-38.7,0.0849,0.0152,0.094,0.0145,0.0888,0.0044,2
Helio,EPOS,18.0,38.7-46.2,0.0957,0.0154,0.1073,0.0148,0.1242,0.0051,3
Helio,EPOS,18.0,46.2-53.8,0.0913,0.0146,0.1063,0.0141,0.1324,0.0068,4
Helio,EPOS,18.0,53.8-62.2,0.0709,0.0141,0.0883,0.0137,0.0858,0.0101,5
Proton,SIBYLL,17.5,0.2-21.7,0.0321,0.001,0.0361,0.0013,0.0279,0.0013,0
Proton,SIBYLL,17.5,21.7-31.6,0.0532,0.002,0.0605,0.0018,0.0661,0.0025,1
Proton,SIBYLL,17.5,31.6-39.9,0.069,0.0026,0.079,0.0028,0.1058,0.0045,2
Proton,SIBYLL,17.5,39.9-47.7,0.0833,0.0029,0.0961,0.0027,0.1474,0.0034,3
Proton,SIBYLL,17.5,47.7-55.8,0.0824,0.0021,0.0976,0.0018,0.1387,0.0028,4
Proton,SIBYLL,17.5,55.8-65.0,0.0721,0.0039,0.0876,0.0037,0.074,0.004,5
Oxigeno,SIBYLL,17.5,0.4-21.7,0.0304,0.0015,0.0339,0.0013,0.0278,0.0017,0
Oxigeno,SIBYLL,17.5,21.7-31.6,0.0542,0.0019,0.0611,0.0019,0.0645,0.0023,1
Oxigeno,SIBYLL,17.5,31.6-39.9,0.0667,0.0015,0.0761,0.0017,0.0992,0.0033,2
Oxigeno,SIBYLL,17.5,39.9-47.7,0.0769,0.0018,0.0893,0.0021,0.1225,0.0031,3
Oxigeno,SIBYLL,17.5,47.7-55.8,0.0757,0.0026,0.089,0.0024,0.1076,0.002,4
Oxigeno,SIBYLL,17.5,55.8-65.0,0.0716,0.0027,0.0869,0.0028,0.0539,0.004,5
Helio,SIBYLL,17.5,0.2-21.7,0.028,0.0013,0.0323,0.0013,0.0277,0.0015,0
Helio,SIBYLL,17.5,21.7-31.6,0.0579,0.0017,0.066,0.0017,0.0663,0.0024,1
Helio,SIBYLL,17.5,31.6-39.9,0.0705,0.0032,0.0806,0.0031,0.1034,0.0041,2
Helio,SIBYLL,17.5,39.9-47.7,0.0826,0.0018,0.094,0.0018,0.1338,0.0039,3
Helio,SIBYLL,17.5,47.7-55.8,0.0789,0.0025,0.093,0.0026,0.1192,0.0037,4
Helio,SIBYLL,17.5,55.8-65.0,0.075,0.0035,0.0908,0.0032,0.0673,0.0025,5
