curva,r_min,r_max,r_centro,A1,error,n_filas,n_bins_validos,motivo
UMD (requiere SD REC),150,300,225.0,0.06195703357848308,0.00935397948392317,7623,12,ok
UMD (requiere SD REC),300,450,375.0,0.09326190489875526,0.007187650540106502,13152,12,ok
UMD (requiere SD REC),450,600,525.0,0.08530058548149781,0.007112019037493695,17919,12,ok
UMD (requiere SD REC),600,750,675.0,0.11471848084273403,0.007969560298823737,22638,12,ok
UMD (requiere SD REC),750,900,825.0,0.11478070069984045,0.009458124373857539,26829,12,ok
UMD (requiere SD REC),900,1050,975.0,0.09409744760472037,0.012533241854401854,26109,12,ok
UMD (requiere SD REC),1050,1200,1125.0,0.10566522795098855,0.018019803829346828,19929,12,ok
UMD (requiere SD REC),1200,1350,1275.0,0.08159722792120955,0.029126123910678425,11082,12,ok
SD Electromagnetic — sólo MC,150,300,225.0,0.2816402547044693,0.01902693307531312,2541,12,ok
SD Electromagnetic — sólo MC,300,450,375.0,0.3799005726583408,0.011168956189630657,4384,12,ok
SD Electromagnetic — sólo MC,450,600,525.0,0.41334576379562066,0.008517903238530454,5973,12,ok
SD Electromagnetic — sólo MC,600,750,675.0,0.4614836931679459,0.006610249730364033,7552,12,ok
SD Electromagnetic — sólo MC,750,900,825.0,0.4631159850426803,0.005856553260590367,9137,12,ok
SD Electromagnetic — sólo MC,900,1050,975.0,0.493075986419404,0.005282271184392043,10231,12,ok
SD Electromagnetic — sólo MC,1050,1200,1125.0,0.5109699695875728,0.004954634730370659,11368,12,ok
SD Electromagnetic — sólo MC,1200,1350,1275.0,0.5183162450958336,0.004890802237271323,12212,12,ok
SD Electromagnetic — con SD REC,150,300,225.0,0.2816402547044693,0.01902693307531312,2541,12,ok
SD Electromagnetic — con SD REC,300,450,375.0,0.3799005726583408,0.011168956189630657,4384,12,ok
SD Electromagnetic — con SD REC,450,600,525.0,0.41334576379562066,0.008517903238530454,5973,12,ok
SD Electromagnetic — con SD REC,600,750,675.0,0.46065535448892714,0.006612008600282104,7546,12,ok
SD Electromagnetic — con SD REC,750,900,825.0,0.44829455232221765,0.005880270759421377,8943,12,ok
SD Electromagnetic — con SD REC,900,1050,975.0,0.4474117467516477,0.005589963737529014,8703,12,ok
SD Electromagnetic — con SD REC,1050,1200,1125.0,0.44366616719003804,0.006353833644931192,6643,12,ok
SD Electromagnetic — con SD REC,1200,1350,1275.0,0.4478642662989377,0.00854585562193477,3694,12,ok
SD Muonic — sólo MC,150,300,225.0,0.03314067926772304,0.015280025360721887,2541,12,ok
SD Muonic — sólo MC,300,450,375.0,0.060169487768215575,0.010933144844300163,4384,12,ok
SD Muonic — sólo MC,450,600,525.0,0.05882667183700323,0.009871755316043444,5973,12,ok
SD Muonic — sólo MC,600,750,675.0,0.06045154880604943,0.0100221409963541,7552,12,ok
SD Muonic — sólo MC,750,900,825.0,0.057560654443523464,0.0107107905396788,9137,12,ok
SD Muonic — sólo MC,900,1050,975.0,0.06601985701431823,0.01220142822301715,10231,12,ok
SD Muonic — sólo MC,1050,1200,1125.0,0.06825525355183897,0.013883855205947846,11368,12,ok
SD Muonic — sólo MC,1200,1350,1275.0,0.06886682701219773,0.015755908156521406,12212,12,ok
SD Muonic — con SD REC,150,300,225.0,0.03314067926772304,0.015280025360721887,2541,12,ok
SD Muonic — con SD REC,300,450,375.0,0.060169487768215575,0.010933144844300163,4384,12,ok
SD Muonic — con SD REC,450,600,525.0,0.05882667183700323,0.009871755316043444,5973,12,ok
SD Muonic — con SD REC,600,750,675.0,0.05933147550314428,0.010019235047959643,7546,12,ok
SD Muonic — con SD REC,750,900,825.0,0.040214430449355375,0.01074751565587384,8943,12,ok
SD Muonic — con SD REC,900,1050,975.0,-0.015799925637810266,0.012046120716806564,8703,12,ok
SD Muonic — con SD REC,1050,1200,1125.0,-0.06412207458189075,0.014041910602114523,6643,12,ok
SD Muonic — con SD REC,1200,1350,1275.0,-0.12399013006585334,0.017138783448030017,3694,12,ok
"SD Total Signal (VEM, sólo REC)",150,300,225.0,0.07421036966871224,0.020336547212451664,2541,12,ok
"SD Total Signal (VEM, sólo REC)",300,450,375.0,0.10983568250214555,0.011607312905249903,4384,12,ok
"SD Total Signal (VEM, sólo REC)",450,600,525.0,0.11027198395741389,0.008927845263201574,5973,12,ok
"SD Total Signal (VEM, sólo REC)",600,750,675.0,0.13063470450329104,0.008040671811187247,7546,12,ok
"SD Total Signal (VEM, sólo REC)",750,900,825.0,0.09710494783217667,0.008126128375630128,8943,12,ok
"SD Total Signal (VEM, sólo REC)",900,1050,975.0,0.053605514023955636,0.00887877495083666,8703,12,ok
"SD Total Signal (VEM, sólo REC)",1050,1200,1125.0,-0.01653445516498234,0.010311891634029515,6643,12,ok
"SD Total Signal (VEM, sólo REC)",1200,1350,1275.0,-0.09786356496154328,0.012783203039622392,3694,12,ok
