quantity,A1,std_bootstrap,low95,high95,parents,valid_draws,r_min,r_max,stations_all,stations_kept
all,0.06913837045735108,0.006713106045708029,0.05547002193010929,0.08116033003109288,960,800,300,600,10357,10357
kept,0.06913837045735108,0.006713106045708029,0.05547002193010929,0.08116033003109288,960,800,300,600,10357,10357
difference,0.0,0.0,0.0,0.0,960,800,300,600,10357,10357
all,0.061754533521817784,0.007966417383336418,0.04531494085122147,0.07793369061505936,960,800,650,950,17730,17250
kept,0.03972384312339308,0.0081509226839396,0.02275285860930328,0.056113291666826576,960,800,650,950,17730,17250
difference,-0.0220306903984247,0.001627824086689837,-0.025467061076958914,-0.01907918444137376,960,800,650,950,17730,17250
all,0.06763789317457149,0.009009391993949236,0.04936771324103399,0.08431665827556059,960,800,1050,1400,28030,11104
kept,-0.0945270166396944,0.01050685077775099,-0.11608601172932513,-0.07499488791908222,960,800,1050,1400,28030,11104
difference,-0.1621649098142659,0.008707439360639927,-0.17842389952078996,-0.1452925335886312,960,800,1050,1400,28030,11104
all,0.05795344935657,0.014107138214103216,0.03045017213116503,0.08550784350943656,960,800,1400,1800,38432,1837
kept,-0.10520943593680955,0.026535050839656498,-0.15230319285696434,-0.047055681307340794,960,800,1400,1800,38432,1837
difference,-0.16316288529337955,0.025185361191166777,-0.20928951079868377,-0.10940637500911753,960,800,1400,1800,38432,1837
