r_min,r_max,theta_min,theta_max,muestra,filas,A1
1050,1200,30,40,antes,11368,0.06597682024756221
1050,1200,30,40,retenidas,6643,-0.07030373745034627
1200,1350,30,40,antes,12212,0.06600888055048736
1200,1350,30,40,retenidas,3694,-0.11392427138473812
1150,1250,34,36,antes,1635,0.07025847430167313
1150,1250,34,36,retenidas,679,-0.09421917041489533
1050,1400,30,35,antes,13427,0.06846251129593696
1050,1400,30,35,retenidas,5677,-0.06376104435472914
1050,1400,35,40,antes,14603,0.0671620765419351
1050,1400,35,40,retenidas,5427,-0.13027035120913882
