source,filas_SD,eventos_con_filas,filas_con_REC,root_original_existe,parquet_correspondiente_existe
SIB23e_175_180_proton_MdSdInfill_CORSIKA78010_FLUKA_Run010.root,5296,240,2544,True,True
SIB23e_175_180_proton_MdSdInfill_CORSIKA78010_FLUKA_Run011.root,5315,240,2578,True,True
SIB23e_175_180_proton_MdSdInfill_CORSIKA78010_FLUKA_Run012.root,5373,240,2592,True,True
SIB23e_175_180_proton_MdSdInfill_CORSIKA78010_FLUKA_Run013.root,5336,240,2559,True,True
SIB23e_175_180_proton_MdSdInfill_CORSIKA78010_FLUKA_Run014.root,5337,240,2570,True,True
SIB23e_175_180_proton_MdSdInfill_CORSIKA78010_FLUKA_Run030.root,5520,250,2681,True,True
SIB23e_175_180_proton_MdSdInfill_CORSIKA78010_FLUKA_Run031.root,5570,250,2723,True,True
SIB23e_175_180_proton_MdSdInfill_CORSIKA78010_FLUKA_Run032.root,5477,250,2687,True,True
SIB23e_175_180_proton_MdSdInfill_CORSIKA78010_FLUKA_Run033.root,5508,250,2700,True,True
SIB23e_175_180_proton_MdSdInfill_CORSIKA78010_FLUKA_Run034.root,5498,249,2693,True,True
SIB23e_175_180_proton_MdSdInfill_CORSIKA78010_FLUKA_Run080.root,5097,231,2438,True,True
SIB23e_175_180_proton_MdSdInfill_CORSIKA78010_FLUKA_Run081.root,5122,231,2430,True,True
SIB23e_175_180_proton_MdSdInfill_CORSIKA78010_FLUKA_Run082.root,5111,231,2394,True,True
SIB23e_175_180_proton_MdSdInfill_CORSIKA78010_FLUKA_Run083.root,5122,231,2445,True,True
SIB23e_175_180_proton_MdSdInfill_CORSIKA78010_FLUKA_Run084.root,5123,231,2458,True,True
SIB23e_175_180_proton_MdSdInfill_CORSIKA78010_FLUKA_Run090.root,5311,239,2506,True,True
SIB23e_175_180_proton_MdSdInfill_CORSIKA78010_FLUKA_Run091.root,5263,239,2505,True,True
SIB23e_175_180_proton_MdSdInfill_CORSIKA78010_FLUKA_Run092.root,5319,239,2529,True,True
SIB23e_175_180_proton_MdSdInfill_CORSIKA78010_FLUKA_Run093.root,5298,238,2512,True,True
SIB23e_175_180_proton_MdSdInfill_CORSIKA78010_FLUKA_Run094.root,5284,239,2487,True,True
