observable,column,r_min,r_max,r_center,A1,error,n_rows,n_nonnull,valid_phi_bins,status
UMD,nMuones_MC,150,300,225.0,0.06195703357848308,0.00935397948392317,7623,7623,12,ok
UMD,nMuones_MC,300,450,375.0,0.09326190489875526,0.007187650540106502,13152,13152,12,ok
UMD,nMuones_MC,450,600,525.0,0.08530058548149781,0.007112019037493695,17919,17919,12,ok
UMD,nMuones_MC,600,750,675.0,0.11471848084273403,0.007969560298823737,22638,22638,12,ok
UMD,nMuones_MC,750,900,825.0,0.11478070069984045,0.009458124373857539,26829,26829,12,ok
UMD,nMuones_MC,900,1050,975.0,0.09409744760472037,0.012533241854401854,26109,26109,12,ok
UMD,nMuones_MC,1050,1200,1125.0,0.10566522795098855,0.018019803829346828,19929,19929,12,ok
UMD,nMuones_MC,1200,1350,1275.0,0.08159722792120955,0.029126123910678425,11082,11082,12,ok
SD Electromagnetic,sd_nEM_MC,150,300,225.0,0.28164143885633897,0.010967693794103275,7623,7623,12,ok
SD Electromagnetic,sd_nEM_MC,300,450,375.0,0.37989910201277494,0.006442413914463896,13152,13152,12,ok
SD Electromagnetic,sd_nEM_MC,450,600,525.0,0.4133454179553429,0.004914590895252624,17919,17919,12,ok
SD Electromagnetic,sd_nEM_MC,600,750,675.0,0.460655248922122,0.0038153946465346185,22638,22638,12,ok
SD Electromagnetic,sd_nEM_MC,750,900,825.0,0.4482937784943307,0.00339337520163592,26829,26829,12,ok
SD Electromagnetic,sd_nEM_MC,900,1050,975.0,0.44741043530815305,0.003225721669275034,26109,26109,12,ok
SD Electromagnetic,sd_nEM_MC,1050,1200,1125.0,0.443665286729357,0.0036656561950615335,19929,19929,12,ok
SD Electromagnetic,sd_nEM_MC,1200,1350,1275.0,0.44785150289095255,0.004927026675632128,11082,11082,12,ok
SD Muonic,sd_nMuons_MC,150,300,225.0,0.03313776534155647,0.00880798308709057,7623,7623,12,ok
SD Muonic,sd_nMuons_MC,300,450,375.0,0.060169328943164804,0.0063064028538384245,13152,13152,12,ok
SD Muonic,sd_nMuons_MC,450,600,525.0,0.058825593502034,0.0056956429398969,17919,17919,12,ok
SD Muonic,sd_nMuons_MC,600,750,675.0,0.05933162240829227,0.005781539134701168,22638,22638,12,ok
SD Muonic,sd_nMuons_MC,750,900,825.0,0.04021517006651614,0.00620225698099763,26829,26829,12,ok
SD Muonic,sd_nMuons_MC,900,1050,975.0,-0.015799852011342465,0.0069514991416826264,26109,26109,12,ok
SD Muonic,sd_nMuons_MC,1050,1200,1125.0,-0.06412643255494711,0.008101974643364353,19929,19929,12,ok
SD Muonic,sd_nMuons_MC,1200,1350,1275.0,-0.1239722719199488,0.009884528997588475,11082,11082,12,ok
SD Total Signal,sdSignal_REC,150,300,225.0,0.07420954888547789,0.011722720226484693,7623,7623,12,ok
SD Total Signal,sdSignal_REC,300,450,375.0,0.10983501430787979,0.0066952728635062695,13152,13152,12,ok
SD Total Signal,sdSignal_REC,450,600,525.0,0.11027091707364213,0.005151051088116683,17919,17919,12,ok
SD Total Signal,sdSignal_REC,600,750,675.0,0.13063493796032077,0.004639818818775792,22638,22638,12,ok
SD Total Signal,sdSignal_REC,750,900,825.0,0.09710509479644845,0.0046894825155277655,26829,26829,12,ok
SD Total Signal,sdSignal_REC,900,1050,975.0,0.053604904149163524,0.00512371759760906,26109,26109,12,ok
SD Total Signal,sdSignal_REC,1050,1200,1125.0,-0.016538491037608762,0.005949890059985907,19929,19929,12,ok
SD Total Signal,sdSignal_REC,1200,1350,1275.0,-0.0978599744949968,0.007372801183162325,11082,11082,12,ok
