observable,column,r_min,r_max,r_center,A1,error,n_rows,n_nonnull,valid_phi_bins,status,A1_pdf,error_pdf,delta_A1,delta_error
UMD,nMuones_MC,150,300,225.0,0.06195703357848308,0.00935397948392317,7623,7623,12,ok,0.0619570332056138,0.009353979665873462,3.728692840598846e-10,-1.8195029163892151e-10
UMD,nMuones_MC,300,450,375.0,0.09326190489875526,0.007187650540106502,13152,13152,12,ok,0.0932619047596604,0.007187650863776063,1.3909486062946286e-10,-3.236695607714002e-10
UMD,nMuones_MC,450,600,525.0,0.08530058548149781,0.007112019037493695,17919,17919,12,ok,0.08530058511858513,0.007112019213479808,3.6291268601384985e-10,-1.7598611370267525e-10
UMD,nMuones_MC,600,750,675.0,0.11471848084273403,0.007969560298823737,22638,22638,12,ok,0.11471848062216411,0.007969560399286044,2.2056992343699733e-10,-1.0046230687621449e-10
UMD,nMuones_MC,750,900,825.0,0.11478070069984045,0.009458124373857539,26829,26829,12,ok,0.11478070023317466,0.00945812438396783,4.666657893448445e-10,-1.0110291076559363e-11
UMD,nMuones_MC,900,1050,975.0,0.09409744760472037,0.012533241854401854,26109,26109,12,ok,0.09409744765608713,0.012533241841305155,-5.1366758069271157e-11,1.3096699072456808e-11
UMD,nMuones_MC,1050,1200,1125.0,0.10566522795098855,0.018019803829346828,19929,19929,12,ok,0.10566522759655222,0.01801980386444615,3.544363275098661e-10,-3.509932275380656e-11
UMD,nMuones_MC,1200,1350,1275.0,0.08159722792120955,0.029126123910678425,11082,11082,12,ok,0.0815972287723416,0.029126123539444902,-8.511320537252232e-10,3.7123352308876534e-10
SD Electromagnetic,sd_nEM_MC,150,300,225.0,0.28164143885633897,0.010967693794103275,7623,7623,12,ok,0.28164143976955647,0.010967693831247707,-9.132175016191013e-10,-3.714443162772252e-11
SD Electromagnetic,sd_nEM_MC,300,450,375.0,0.37989910201277494,0.006442413914463896,13152,13152,12,ok,0.3798991019459649,0.006442413775030634,6.681005748632174e-11,1.3943326181153903e-10
SD Electromagnetic,sd_nEM_MC,450,600,525.0,0.4133454179553429,0.004914590895252624,17919,17919,12,ok,0.413345418008799,0.00491459096323551,-5.345607290152543e-11,-6.79828866811949e-11
SD Electromagnetic,sd_nEM_MC,600,750,675.0,0.460655248922122,0.0038153946465346185,22638,22638,12,ok,0.4606552491293692,0.0038153948510432347,-2.0724721938591983e-10,-2.045086162048848e-10
SD Electromagnetic,sd_nEM_MC,750,900,825.0,0.4482937784943307,0.00339337520163592,26829,26829,12,ok,0.44829377889805266,0.003393374666461733,-4.037219447639018e-10,5.351741870843196e-10
SD Electromagnetic,sd_nEM_MC,900,1050,975.0,0.44741043530815305,0.003225721669275034,26109,26109,12,ok,0.44741043531309754,0.0032257215860503493,-4.944489262470597e-12,8.322468452240384e-11
SD Electromagnetic,sd_nEM_MC,1050,1200,1125.0,0.443665286729357,0.0036656561950615335,19929,19929,12,ok,0.4436652870258064,0.003665656301565929,-2.9644936505590636e-10,-1.0650439558057556e-10
SD Electromagnetic,sd_nEM_MC,1200,1350,1275.0,0.44785150289095255,0.004927026675632128,11082,11082,12,ok,0.44785150193992146,0.004927027191399937,9.510310872151706e-10,-5.15767809537715e-10
SD Muonic,sd_nMuons_MC,150,300,225.0,0.03313776534155647,0.00880798308709057,7623,7623,12,ok,0.0331377649033438,0.008807982641341314,4.382126675417375e-10,4.457492552151221e-10
SD Muonic,sd_nMuons_MC,300,450,375.0,0.060169328943164804,0.0063064028538384245,13152,13152,12,ok,0.06016932947593595,0.0063064031642695575,-5.327711466440732e-10,-3.104311330562326e-10
SD Muonic,sd_nMuons_MC,450,600,525.0,0.058825593502034,0.0056956429398969,17919,17919,12,ok,0.05882559391304987,0.005695643057434212,-4.110158671744024e-10,-1.1753731234825926e-10
SD Muonic,sd_nMuons_MC,600,750,675.0,0.05933162240829227,0.005781539134701168,22638,22638,12,ok,0.05933162337123127,0.0057815388498811985,-9.629389993714987e-10,2.848199696925402e-10
SD Muonic,sd_nMuons_MC,750,900,825.0,0.04021517006651614,0.00620225698099763,26829,26829,12,ok,0.04021516982513074,0.006202256966552548,2.4138540472007364e-10,1.444508228309882e-11
SD Muonic,sd_nMuons_MC,900,1050,975.0,-0.015799852011342465,0.0069514991416826264,26109,26109,12,ok,-0.01579985233357728,0.006951498653932969,3.222348152198684e-10,4.877496575031448e-10
SD Muonic,sd_nMuons_MC,1050,1200,1125.0,-0.06412643255494711,0.008101974643364353,19929,19929,12,ok,-0.06412643277423213,0.008101974787256681,2.192850206972352e-10,-1.4389232860789747e-10
SD Muonic,sd_nMuons_MC,1200,1350,1275.0,-0.1239722719199488,0.009884528997588475,11082,11082,12,ok,-0.12397227041098269,0.009884529430198987,-1.5089661187239756e-09,-4.3261051164977804e-10
SD Total Signal,sdSignal_REC,150,300,225.0,0.07420954888547789,0.011722720226484693,7623,7623,12,ok,0.07420954846568162,0.011722720103281173,4.197962671925737e-10,1.2320352030248394e-10
