column,sample,r_min,r_max,r_center,A1,error,n_rows,n_nonnull,valid_phi_bins,status
sd_nMuons_MC,Antes de HasStation,150,300,225.0,0.03314067926772304,0.015280025360721887,2541,2541,12,ok
sd_nMuons_MC,Antes de HasStation,300,450,375.0,0.060169487768215575,0.010933144844300163,4384,4384,12,ok
sd_nMuons_MC,Antes de HasStation,450,600,525.0,0.05882667183700323,0.009871755316043444,5973,5973,12,ok
sd_nMuons_MC,Antes de HasStation,600,750,675.0,0.06045154880604943,0.0100221409963541,7552,7552,12,ok
sd_nMuons_MC,Antes de HasStation,750,900,825.0,0.057560654443523464,0.0107107905396788,9137,9137,12,ok
sd_nMuons_MC,Antes de HasStation,900,1050,975.0,0.06601985701431823,0.01220142822301715,10231,10231,12,ok
sd_nMuons_MC,Antes de HasStation,1050,1200,1125.0,0.06825525355183897,0.013883855205947846,11368,11368,12,ok
sd_nMuons_MC,Antes de HasStation,1200,1350,1275.0,0.06886682701219773,0.015755908156521406,12212,12212,12,ok
sd_nMuons_MC,HasStation=True,150,300,225.0,0.03314067926772304,0.015280025360721887,2541,2541,12,ok
sd_nMuons_MC,HasStation=True,300,450,375.0,0.060169487768215575,0.010933144844300163,4384,4384,12,ok
sd_nMuons_MC,HasStation=True,450,600,525.0,0.05882667183700323,0.009871755316043444,5973,5973,12,ok
sd_nMuons_MC,HasStation=True,600,750,675.0,0.05933147550314428,0.010019235047959643,7546,7546,12,ok
sd_nMuons_MC,HasStation=True,750,900,825.0,0.040214430449355375,0.01074751565587384,8943,8943,12,ok
sd_nMuons_MC,HasStation=True,900,1050,975.0,-0.015799925637810266,0.012046120716806564,8703,8703,12,ok
sd_nMuons_MC,HasStation=True,1050,1200,1125.0,-0.06412207458189075,0.014041910602114523,6643,6643,12,ok
sd_nMuons_MC,HasStation=True,1200,1350,1275.0,-0.12399013006585334,0.017138783448030017,3694,3694,12,ok
sd_nMuons_MC,"Parquet, SD sin duplicados",150,300,225.0,0.03314067926772304,0.015280025360721887,2541,2541,12,ok
sd_nMuons_MC,"Parquet, SD sin duplicados",300,450,375.0,0.060169487768215575,0.010933144844300163,4384,4384,12,ok
sd_nMuons_MC,"Parquet, SD sin duplicados",450,600,525.0,0.05882667183700323,0.009871755316043444,5973,5973,12,ok
sd_nMuons_MC,"Parquet, SD sin duplicados",600,750,675.0,0.05933147550314428,0.010019235047959643,7546,7546,12,ok
sd_nMuons_MC,"Parquet, SD sin duplicados",750,900,825.0,0.040214430449355375,0.01074751565587384,8943,8943,12,ok
sd_nMuons_MC,"Parquet, SD sin duplicados",900,1050,975.0,-0.015799925637810266,0.012046120716806564,8703,8703,12,ok
sd_nMuons_MC,"Parquet, SD sin duplicados",1050,1200,1125.0,-0.06412207458189075,0.014041910602114523,6643,6643,12,ok
sd_nMuons_MC,"Parquet, SD sin duplicados",1200,1350,1275.0,-0.12399013006585334,0.017138783448030017,3694,3694,12,ok
sd_nEM_MC,Antes de HasStation,150,300,225.0,0.2816402547044693,0.01902693307531312,2541,2541,12,ok
sd_nEM_MC,Antes de HasStation,300,450,375.0,0.3799005726583408,0.011168956189630657,4384,4384,12,ok
sd_nEM_MC,Antes de HasStation,450,600,525.0,0.41334576379562066,0.008517903238530454,5973,5973,12,ok
sd_nEM_MC,Antes de HasStation,600,750,675.0,0.4614836931679459,0.006610249730364033,7552,7552,12,ok
sd_nEM_MC,Antes de HasStation,750,900,825.0,0.4631159850426803,0.005856553260590367,9137,9137,12,ok
sd_nEM_MC,Antes de HasStation,900,1050,975.0,0.493075986419404,0.005282271184392043,10231,10231,12,ok
sd_nEM_MC,Antes de HasStation,1050,1200,1125.0,0.5109699695875728,0.004954634730370659,11368,11368,12,ok
sd_nEM_MC,Antes de HasStation,1200,1350,1275.0,0.5183162450958336,0.004890802237271323,12212,12212,12,ok
sd_nEM_MC,HasStation=True,150,300,225.0,0.2816402547044693,0.01902693307531312,2541,2541,12,ok
sd_nEM_MC,HasStation=True,300,450,375.0,0.3799005726583408,0.011168956189630657,4384,4384,12,ok
sd_nEM_MC,HasStation=True,450,600,525.0,0.41334576379562066,0.008517903238530454,5973,5973,12,ok
sd_nEM_MC,HasStation=True,600,750,675.0,0.46065535448892714,0.006612008600282104,7546,7546,12,ok
sd_nEM_MC,HasStation=True,750,900,825.0,0.44829455232221765,0.005880270759421377,8943,8943,12,ok
sd_nEM_MC,HasStation=True,900,1050,975.0,0.4474117467516477,0.005589963737529014,8703,8703,12,ok
sd_nEM_MC,HasStation=True,1050,1200,1125.0,0.44366616719003804,0.006353833644931192,6643,6643,12,ok
sd_nEM_MC,HasStation=True,1200,1350,1275.0,0.4478642662989377,0.00854585562193477,3694,3694,12,ok
sd_nEM_MC,"Parquet, SD sin duplicados",150,300,225.0,0.2816402547044693,0.01902693307531312,2541,2541,12,ok
sd_nEM_MC,"Parquet, SD sin duplicados",300,450,375.0,0.3799005726583408,0.011168956189630657,4384,4384,12,ok
sd_nEM_MC,"Parquet, SD sin duplicados",450,600,525.0,0.41334576379562066,0.008517903238530454,5973,5973,12,ok
sd_nEM_MC,"Parquet, SD sin duplicados",600,750,675.0,0.46065535448892714,0.006612008600282104,7546,7546,12,ok
sd_nEM_MC,"Parquet, SD sin duplicados",750,900,825.0,0.44829455232221765,0.005880270759421377,8943,8943,12,ok
sd_nEM_MC,"Parquet, SD sin duplicados",900,1050,975.0,0.4474117467516477,0.005589963737529014,8703,8703,12,ok
