origen,destino,bytes_originales,sha256_original,entrega_git
claude_work/physics_selection_thesis_drafts/.gitignore,claude_work/revision_asimetrias_sd_umd/03_borradores_tesis/.gitignore,212,80457549513c978351ab771f3873dd43b47df5757afc9f797a7c894dfaeb2ca9,True
claude_work/physics_selection_thesis_drafts/03_fenomenologia_DRAFT.tex,claude_work/revision_asimetrias_sd_umd/03_borradores_tesis/03_fenomenologia_DRAFT.tex,16314,2902c17eb4cd10d2ba29e43cc8da21062f96b843681611bd82dc33e3c09f8567,True
claude_work/physics_selection_thesis_drafts/05_anillo_denso_DRAFT.tex,claude_work/revision_asimetrias_sd_umd/03_borradores_tesis/05_anillo_denso_DRAFT.tex,33877,579a32709457820891023378f8178fa1037ae842d0cabab3bf5957a3240819d9,True
claude_work/physics_selection_thesis_drafts/06_infill_DRAFT.tex,claude_work/revision_asimetrias_sd_umd/03_borradores_tesis/06_infill_DRAFT.tex,23538,da14f2f4fdb81f9bb1092a74bf7a541d06864ab98417d96f329b3d75f53b9b56,True
claude_work/physics_selection_thesis_drafts/BUILD_STATUS.md,claude_work/revision_asimetrias_sd_umd/03_borradores_tesis/BUILD_STATUS.md,1234,02d55815034b7c08a4c9c20a468dbd4ba2f4b68eb886edc8a1937dfc107f6c63,True
claude_work/physics_selection_thesis_drafts/README.md,claude_work/revision_asimetrias_sd_umd/03_borradores_tesis/README.md,10503,66e8978e5115d1ea54c3babd6c6d78024267b1547b05fcdcc4ac17ac3d5bd161,True
claude_work/physics_selection_thesis_drafts/cambios_03.diff,claude_work/revision_asimetrias_sd_umd/03_borradores_tesis/cambios_03.diff,37087,7d4de96b3e778928519c5a95b993357451e0ff186df6a8bb690740ff0842ea26,True
claude_work/physics_selection_thesis_drafts/cambios_05.diff,claude_work/revision_asimetrias_sd_umd/03_borradores_tesis/cambios_05.diff,67741,99a6516bb9be3b305ec47e39d508f94cfb800a67d193c9e511b3d77f16d72c29,True
claude_work/physics_selection_thesis_drafts/cambios_06.diff,claude_work/revision_asimetrias_sd_umd/03_borradores_tesis/cambios_06.diff,56083,b207a64f273ca7519ed14646ca1b8aab66830a852378c5462fd052d098d0d311,True
claude_work/physics_selection_thesis_drafts/prepare_and_check.py,claude_work/revision_asimetrias_sd_umd/03_borradores_tesis/prepare_and_check.py,6369,1c2f6807de2cdfafc82031022dcfeb045736cdab66747d42bfe3029a045360a3,True
claude_work/physics_selection_thesis_drafts/preview.aux,claude_work/revision_asimetrias_sd_umd/99_archivo_local/intermedios/physics_selection_thesis_drafts/preview.aux,59117,566663dfbb0c3d199d2d994c1efec15c994a9470f23332e076de5ae64ad361ff,False
claude_work/physics_selection_thesis_drafts/preview.bbl,claude_work/revision_asimetrias_sd_umd/99_archivo_local/intermedios/physics_selection_thesis_drafts/preview.bbl,46583,7d9bcf2ec7719d12d3db27c081d71808c8b0b02dfa92b750c28689a5820f93a8,False
claude_work/physics_selection_thesis_drafts/preview.bcf,claude_work/revision_asimetrias_sd_umd/99_archivo_local/intermedios/physics_selection_thesis_drafts/preview.bcf,111597,2948a3a1fd3c7eb6b0ccc04fa4fbe02b0dbf721815dbff986e891596014ed4ee,False
claude_work/physics_selection_thesis_drafts/preview.blg,claude_work/revision_asimetrias_sd_umd/99_archivo_local/intermedios/physics_selection_thesis_drafts/preview.blg,1308,dcfed400bfe1c169902c121e4f69316f929019d13f81ef9ec30300e3d7bc9106,False
claude_work/physics_selection_thesis_drafts/preview.log,claude_work/revision_asimetrias_sd_umd/99_archivo_local/intermedios/physics_selection_thesis_drafts/preview.log,100140,e81c6f3fa622a59eb6a604ce09202aa8b0ed59d3aac4b465c13344dfc92084a4,False
claude_work/physics_selection_thesis_drafts/preview.out,claude_work/revision_asimetrias_sd_umd/99_archivo_local/intermedios/physics_selection_thesis_drafts/preview.out,8402,5b5571f2e2bde23d7f28529394b54cc6329d9875dea41a0393af843144fe38c1,False
claude_work/physics_selection_thesis_drafts/preview.pdf,claude_work/revision_asimetrias_sd_umd/03_borradores_tesis/preview.pdf,11249061,fcfb2acc2a6fb1a6f1f85cbfd29ed3e1955bb4284b020072bda574bd6b693a10,True
claude_work/physics_selection_thesis_drafts/preview.run.xml,claude_work/revision_asimetrias_sd_umd/99_archivo_local/intermedios/physics_selection_thesis_drafts/preview.run.xml,2392,1d08b752b0b4b53693cd363bd0feb98cd348af60556489d732513f3249ce48bc,False
claude_work/physics_selection_thesis_drafts/preview.tex,claude_work/revision_asimetrias_sd_umd/03_borradores_tesis/preview.tex,8265,125c10f1b2935e1bed9fe13dfda003a494fc12d0b5dd2b9b2bba1d9ee752309c,True
claude_work/physics_selection_thesis_drafts/preview.toc,claude_work/revision_asimetrias_sd_umd/99_archivo_local/intermedios/physics_selection_thesis_drafts/preview.toc,8226,42827a568a426cee50d2eb59a217e1a733f2aa650c95947eb0f77506f9ac9266,False
claude_work/physics_selection_thesis_drafts/protected_sources_sha256.json,claude_work/revision_asimetrias_sd_umd/03_borradores_tesis/protected_sources_sha256.json,1962,d8f9df3c1dc82efd171d4a05c6606e1e62c6e6a566fad5e7114fefa202a3c2b0,True
claude_work/physics_selection_thesis_drafts/validation.json,claude_work/revision_asimetrias_sd_umd/03_borradores_tesis/validation.json,2058,36d5ee66aeba9786c8bc9eb14f4b7f382ff0929bab9eac08e7b939b11fdb5cae,True
claude_work/sd_component_plot_reproduction/.gitignore,claude_work/revision_asimetrias_sd_umd/02_notebooks/02_reproduccion/.gitignore,33,1bc140d8b5e57a018aa6ef8380c22e3547a1f00355105fcd16ccd65130012275,True
claude_work/sd_component_plot_reproduction/.ipynb_checkpoints/reproducir_desglose_sd-checkpoint.ipynb,claude_work/revision_asimetrias_sd_umd/99_archivo_local/intermedios/sd_component_plot_reproduction/.ipynb_checkpoints/reproducir_desglose_sd-checkpoint.ipynb,376282,f466a1a327d67dc24cf9f2e5e3127ecf88e971d5b1de61678c4b3d0b3501b496,False
claude_work/sd_component_plot_reproduction/README.md,claude_work/revision_asimetrias_sd_umd/02_notebooks/02_reproduccion/README.md,4411,7b86231a44a3cf7542d597b9ba7ccc26b8e576fbcc6ee1c096ced41ea9065ac0,True
