tabla,filas,columnas_numericas,max_diferencia_absoluta
02_notebooks/02_reproduccion/resultados/ajustes_reproducidos.csv,32,8,0.0
02_notebooks/02_reproduccion/resultados/comparacion_numerica_con_PDF.csv,32,12,0.0
02_notebooks/02_reproduccion/resultados/integridad_fuentes_offline.csv,13,0,0.0
02_notebooks/02_reproduccion/resultados/seleccion_mismos_bins_ajuste_ponderado.csv,48,8,0.0
04_soporte/tablas/adst_counts_fast.csv,106280,15,0.0
04_soporte/tablas/adst_selection_bins.csv,48,12,0.0
04_soporte/tablas/adst_selection_fits.csv,32,5,0.0
04_soporte/tablas/adst_station_audit.csv,5296,16,0.0
04_soporte/tablas/analytic_legacy.csv,6,5,0.0
04_soporte/tablas/energy_strata.csv,204,4,0.0
04_soporte/tablas/far_bin_diagnostics.csv,12,12,0.0
04_soporte/tablas/mc_fits.csv,288,5,0.0
04_soporte/tablas/primary_azimuth_fits.csv,16,4,0.0
04_soporte/tablas/selection_closure_bins.csv,48,10,0.0
04_soporte/tablas/selection_closure_fits.csv,24,5,0.0
04_soporte/tablas/selection_composition.csv,12,9,0.0
04_soporte/tablas/selection_narrow_bins.csv,10,7,0.0
04_soporte/tablas/selection_paired_bootstrap.csv,12,7,0.0
04_soporte/tablas/standardized_fits.csv,4,3,0.0
04_soporte/tablas/transport_convergence.csv,3,3,0.0
04_soporte/tablas/transport_sensitivity.csv,54,5,0.0
04_soporte/tablas/umd_selection_raw.csv,5507,12,0.0
02_notebooks/01_seleccion/exports/A1_recalculado_con_bootstrap.csv,12,10,0.0
02_notebooks/01_seleccion/exports/comprobaciones.csv,7,0,0.0
02_notebooks/01_seleccion/exports/control_bandas_estrechas.csv,10,6,0.0
02_notebooks/01_seleccion/exports/control_mezcla_comun.csv,2,1,0.0
02_notebooks/01_seleccion/exports/ficha_de_ejecucion.csv,8,0,0.0
02_notebooks/01_seleccion/exports/observables_parquet_recalculados.csv,4,2,0.0
02_notebooks/01_seleccion/exports/procedencia_por_archivo.csv,20,3,0.0
02_notebooks/01_seleccion/exports/resultado_principal.csv,3,2,0.0
02_notebooks/01_seleccion/exports/seleccion_por_azimut.csv,12,11,0.0
02_notebooks/01_seleccion/raw_smoke_test/provenance.csv,1,5,0.0
02_notebooks/01_seleccion/raw_smoke_test/stations.csv,200,15,0.0
02_notebooks/03_sd_vs_umd/resultados/comparacion_directa.csv,8,17,0.0
02_notebooks/03_sd_vs_umd/resultados/replicas_pareadas.csv,1200,24,0.0
