lo,hi,sample,variable,A,error,n
300,600,all_sim,mu,0.06977651841093466,0.02410351143448635,528
300,600,all_sim,em,0.39245182697490544,0.025510329707055492,528
300,600,has_SDrec,mu,0.06977651841093466,0.02410351143448635,528
300,600,has_SDrec,em,0.39245182697490544,0.025510329707055492,528
300,600,has_SDrec_MD,mu,,,0
300,600,has_SDrec_MD,em,,,0
300,600,no_SDrec,mu,,,0
300,600,no_SDrec,em,,,0
650,950,all_sim,mu,0.04976162772467062,0.03873208512319481,887
650,950,all_sim,em,0.4669401276467103,0.0345813287036936,887
650,950,has_SDrec,mu,0.02265462618854439,0.035550579057791486,862
650,950,has_SDrec,em,0.4420556560956154,0.03255268033303183,862
650,950,has_SDrec_MD,mu,,,0
650,950,has_SDrec_MD,em,,,0
650,950,no_SDrec,mu,,,25
650,950,no_SDrec,em,,,25
1050,1400,all_sim,mu,-0.006055504456653903,0.05180527657256789,1415
1050,1400,all_sim,em,0.5213875334441018,0.016917455466282448,1415
1050,1400,has_SDrec,mu,-0.09620157016391323,0.05277342866549191,564
1050,1400,has_SDrec,em,0.4187154391143722,0.023009180062322058,564
1050,1400,has_SDrec_MD,mu,,,0
1050,1400,has_SDrec_MD,em,,,0
1050,1400,no_SDrec,mu,-0.2802987320619741,0.05371405232537073,851
1050,1400,no_SDrec,em,0.4723881329251003,0.027875700503761237,851
1400,1800,all_sim,mu,0.12097062501228878,0.06005975567689261,1885
1400,1800,all_sim,em,0.5493142447252659,0.021593154231371346,1885
1400,1800,has_SDrec,mu,-0.28045676781537776,0.12975313877834188,82
1400,1800,has_SDrec,em,0.5269585359024348,0.07478716894883167,82
1400,1800,has_SDrec_MD,mu,,,0
1400,1800,has_SDrec_MD,em,,,0
1400,1800,no_SDrec,mu,0.08490971488012186,0.06513422036133662,1803
1400,1800,no_SDrec,em,0.5254715712780701,0.020530707521518497,1803
