energy,A,error,n,variable
17.5,,,129,nMuones_MC
17.5,,,129,sd_nMuons_MC
17.5,,,129,sd_nEM_MC
17.5,,,129,sdSignal_REC
17.51,0.13878216160770682,0.14734696964379018,342,nMuones_MC
17.51,0.015085091410364305,0.04552231318121413,342,sd_nMuons_MC
17.51,0.4524948678621383,0.019971140146065637,342,sd_nEM_MC
17.51,-0.031066027653564917,0.039365162841798064,342,sdSignal_REC
17.52,,,201,nMuones_MC
17.52,,,201,sd_nMuons_MC
17.52,,,201,sd_nEM_MC
17.52,,,201,sdSignal_REC
17.53,,,423,nMuones_MC
17.53,-0.23199603902698207,0.045987046935695636,423,sd_nMuons_MC
17.53,0.5079583446400991,0.023367854195923528,423,sd_nEM_MC
17.53,-0.22687259079575609,0.0380997517411725,423,sdSignal_REC
17.54,0.3843393981602332,0.1703399995141352,429,nMuones_MC
17.54,,,429,sd_nMuons_MC
17.54,0.4533308764778679,0.020980737148468754,429,sd_nEM_MC
17.54,-0.0634314521154885,0.0397029072831524,429,sdSignal_REC
17.55,,,321,nMuones_MC
17.55,,,321,sd_nMuons_MC
17.55,,,321,sd_nEM_MC
17.55,,,321,sdSignal_REC
17.56,0.12219308940024784,0.1441649405198688,423,nMuones_MC
17.56,,,423,sd_nMuons_MC
17.56,0.5282387149162268,0.02117217858817618,423,sd_nEM_MC
17.56,0.08151013172497737,0.03405099879929904,423,sdSignal_REC
17.57,0.009167365102881386,0.12016569810985837,555,nMuones_MC
17.57,0.16563621260494438,0.03981318481007159,555,sd_nMuons_MC
17.57,0.4708427250247772,0.021321617684820493,555,sd_nEM_MC
17.57,0.021205179322114163,0.028161568497972272,555,sdSignal_REC
17.58,,,486,nMuones_MC
17.58,,,486,sd_nMuons_MC
17.58,0.4541762803888002,0.021024606428165782,486,sd_nEM_MC
17.58,0.12126112074015548,0.026336533307967744,486,sdSignal_REC
17.59,0.2603095138973134,0.13465444941028834,378,nMuones_MC
17.59,0.0001691271098116967,0.05070045592400587,378,sd_nMuons_MC
17.59,0.4901786271555804,0.020957527783896483,378,sd_nEM_MC
17.59,-0.1765707542318643,0.03550124472986266,378,sdSignal_REC
17.6,-0.14379865452110646,0.13337074510102018,537,nMuones_MC
17.6,-0.029012313751327432,0.04857879940020354,537,sd_nMuons_MC
17.6,0.41841919887720047,0.02155295811365129,537,sd_nEM_MC
17.6,-0.07672570749000192,0.03395674444965926,537,sdSignal_REC
17.61,-0.016454571965358846,0.1341609457426159,498,nMuones_MC
17.61,-0.1887887406691537,0.038551925857075536,498,sd_nMuons_MC
17.61,0.47140830298158887,0.01827650122657096,498,sd_nEM_MC
17.61,-0.1812698926889645,0.030112543754353824,498,sdSignal_REC
17.62,,,396,nMuones_MC
17.62,0.07511270223337996,0.052144810815016526,396,sd_nMuons_MC
17.62,0.37511548821756097,0.019791313791504173,396,sd_nEM_MC
17.62,0.1513878475412844,0.03630876903270941,396,sdSignal_REC
17.63,0.30326974454505706,0.14099420298268048,588,nMuones_MC
17.63,-0.1419911111397208,0.0352870802291028,588,sd_nMuons_MC
17.63,0.3901189833254819,0.01840517459930577,588,sd_nEM_MC
17.63,-0.14888110186166964,0.026677552386324483,588,sdSignal_REC
17.64,,,423,nMuones_MC
17.64,-0.12639398617425837,0.03836366016628544,423,sd_nMuons_MC
17.64,0.4424817608247732,0.01805898542472475,423,sd_nEM_MC
17.64,-0.10299068406974325,0.032972311585419106,423,sdSignal_REC
17.65,0.12212324081067745,0.1317288975044738,633,nMuones_MC
17.65,-0.008104029799217715,0.0346595227266168,633,sd_nMuons_MC
17.65,0.4762734415952866,0.018083799466273507,633,sd_nEM_MC
17.65,-0.07466477308076931,0.02864557491156432,633,sdSignal_REC
17.66,,,420,nMuones_MC
17.66,-0.2571001903782624,0.04056828778249766,420,sd_nMuons_MC
17.66,0.4857380618092615,0.021089360314412563,420,sd_nEM_MC
17.66,-0.04509537851179312,0.031827462677346166,420,sdSignal_REC
17.67,0.1486627352387926,0.10545740778908427,735,nMuones_MC
17.67,-0.1904941801672451,0.03372742147826512,735,sd_nMuons_MC
17.67,0.4281269047785965,0.018309948965219446,735,sd_nEM_MC
17.67,-0.18154264943085258,0.026635221325307122,735,sdSignal_REC
17.68,0.16335083630684002,0.10761604736629729,690,nMuones_MC
17.68,-0.02348101182752355,0.039032765800424356,690,sd_nMuons_MC
17.68,0.4193769252318584,0.018877903993242295,690,sd_nEM_MC
17.68,-0.13503918525712583,0.02588427058651528,690,sdSignal_REC
17.69,0.036740438843597054,0.10915401837915277,741,nMuones_MC
17.69,-0.0994360831465753,0.03606254109811381,741,sd_nMuons_MC
17.69,0.42632627232789116,0.019676909867915992,741,sd_nEM_MC
17.69,-0.09079219733892913,0.02409374526608215,741,sdSignal_REC
17.7,0.04992590297536675,0.11461111850023546,459,nMuones_MC
17.7,0.030490597736633825,0.0472541613177938,459,sd_nMuons_MC
17.7,0.4940598135429703,0.021288223710762597,459,sd_nEM_MC
17.7,0.060544536071956284,0.03028790909285656,459,sdSignal_REC
17.71,,,627,nMuones_MC
17.71,-0.11872771721538362,0.03903454585406561,627,sd_nMuons_MC
17.71,0.4498122176810764,0.019874774840642713,627,sd_nEM_MC
17.71,-0.018478577964942854,0.032221096802933676,627,sdSignal_REC
17.72,0.021482749764790643,0.10285606494065559,834,nMuones_MC
17.72,0.05416722269294587,0.03628166401000928,834,sd_nMuons_MC
17.72,0.44776560225459233,0.016681711789579726,834,sd_nEM_MC
17.72,8.98272311073625e-05,0.02639945385817941,834,sdSignal_REC
17.73,0.07516412048357868,0.1317074290208486,468,nMuones_MC
17.73,-0.05263222008683063,0.05151098416062111,468,sd_nMuons_MC
17.73,0.4516892414324611,0.02142799600799329,468,sd_nEM_MC
17.73,-0.07570737784950599,0.038345526441517494,468,sdSignal_REC
17.74,0.04228710981494671,0.12049298216753157,642,nMuones_MC
17.74,-0.19849100936228295,0.034147795312842524,642,sd_nMuons_MC
17.74,0.5068041035396845,0.022425496355836624,642,sd_nEM_MC
17.74,-0.06999750614328923,0.026202800727132013,642,sdSignal_REC
17.75,-0.11217397990710376,0.10589202692129365,678,nMuones_MC
17.75,-0.16810011994499532,0.037262874102546625,678,sd_nMuons_MC
17.75,0.5076638500693091,0.019345698662413056,678,sd_nEM_MC
17.75,-0.07285647033068864,0.02525741852807804,678,sdSignal_REC
17.76,-0.025689264886446867,0.0966508241593798,867,nMuones_MC
17.76,-0.08237762034040173,0.03449823366356569,867,sd_nMuons_MC
17.76,0.4359403132348572,0.017471606349934023,867,sd_nEM_MC
17.76,-0.027576919708341124,0.02282367803329567,867,sdSignal_REC
17.77,-0.15924448263774957,0.08947015651062845,813,nMuones_MC
17.77,-0.14295353126757926,0.032849456506381054,813,sd_nMuons_MC
17.77,0.4074835082673916,0.019361029525771886,813,sd_nEM_MC
17.77,-0.12787008078445042,0.02293555320974295,813,sdSignal_REC
17.78,-0.07540788784980096,0.07826949889595969,987,nMuones_MC
17.78,-0.14636369322947063,0.031567028355257494,987,sd_nMuons_MC
