bin,n,events,r,logE,theta,SDmu,UMD,EM,signal,zero_signal,zero_sdmu
0,1686,562,1168.410582632825,17.820809877314343,34.92929707163867,1.4733096085409252,0.27164887307236063,27.268683274021353,1.9625068650970836,0.0,0.1797153024911032
1,1950,650,1175.450671911592,17.832580925338366,34.821284878142336,1.5076923076923077,0.2805128205128205,31.686153846153847,1.8922417594452159,0.0,0.16615384615384615
2,2715,900,1181.623112538735,17.807490966351146,34.909870142330355,1.4353591160220995,0.27771639042357277,39.31160220994475,1.8134725135681484,0.0,0.2011049723756906
3,3147,1042,1184.9141639151464,17.804735176930844,34.91618206230472,1.3784556720686367,0.3053701938353988,50.08198284080076,1.8558178297674242,0.0,0.21258341277407056
4,3555,1183,1194.079004278042,17.80296601538221,35.13245356435812,1.2953586497890295,0.3071729957805907,58.29873417721519,1.787879097066393,0.0,0.23544303797468355
5,3525,1175,1193.8698034861607,17.798766438510977,35.11675333958005,1.2672340425531914,0.31858156028368795,63.026382978723404,1.7655412297145632,0.0,0.24
6,3591,1197,1194.8690627025956,17.80117560782421,35.179762169254225,1.3091060985797829,0.31690336953494846,62.707602339181285,1.7724498759867497,0.0,0.22556390977443608
7,3546,1176,1192.4731036861763,17.797325775103694,35.125952586180695,1.3468697123519457,0.3020304568527919,57.74027072758037,1.8143108027138402,0.0,0.22588832487309646
8,3153,1040,1182.5292135530258,17.809756649705484,35.11645919130894,1.3929590865842054,0.2940057088487155,51.4919124643197,1.9034191549572144,0.0,0.2093244529019981
9,2592,859,1181.147155866565,17.818793441322203,34.991740551877356,1.4513888888888888,0.29475308641975306,39.81018518518518,1.892973152451022,0.0,0.2013888888888889
10,2172,723,1174.038960612385,17.822850664397485,34.674919411297566,1.4930939226519337,0.27716390423572745,31.502762430939228,1.9411613086830497,0.0,0.18646408839779005
11,1680,560,1173.1855302809422,17.81628967306522,34.782829519118586,1.6410714285714285,0.2863095238095238,26.24642857142857,2.1294104168833443,0.0,0.13214285714285715
