quadrant,variable,A,error,n
0,nMuones_MC,0.1111242444138506,0.026972256903726625,8985
0,sd_nMuons_MC,-0.08394841024699125,0.024411533256303342,8985
0,sd_nEM_MC,0.42911498453291036,0.008384402960808616,8985
0,sdSignal_REC,-0.06963960442778667,0.02030922455750235,8985
1,nMuones_MC,0.03561865086432903,0.04119855765245238,7851
1,sd_nMuons_MC,-0.07138973117932068,0.01759411467714022,7851
1,sd_nEM_MC,0.411414778000559,0.01290531708526,7851
1,sdSignal_REC,-0.031438494145796005,0.018637681283712553,7851
2,nMuones_MC,0.10751372130552511,0.0226842016125324,8160
2,sd_nMuons_MC,-0.11341350170061121,0.020033383657362958,8160
2,sd_nEM_MC,0.42534759893772844,0.014894413985884761,8160
2,sdSignal_REC,-0.07075810155166937,0.016838834636260798,8160
3,nMuones_MC,0.02813729249803171,0.022603316392319314,8316
3,sd_nMuons_MC,-0.10913080970266147,0.015321587058387447,8316
3,sd_nEM_MC,0.4124858340862634,0.010488676258707964,8316
3,sdSignal_REC,-0.06971192252239719,0.008886767568513296,8316
