lo,hi,bin,n_all,n_kept,eff,mu_eff,all_mu,kept_mu,closure
300,600,0,872,872,1.0,1.0,11.014908256880734,11.014908256880734,11.014908256880734
300,600,1,861,861,1.0,1.0,11.19163763066202,11.19163763066202,11.19163763066202
300,600,2,903,903,1.0,1.0,11.539313399778516,11.539313399778516,11.539313399778516
300,600,3,871,871,1.0,1.0,12.56142365097589,12.56142365097589,12.56142365097589
300,600,4,859,859,1.0,1.0,12.563445867287543,12.563445867287543,12.563445867287543
300,600,5,842,842,1.0,1.0,12.308788598574822,12.308788598574822,12.308788598574822
300,600,6,804,804,1.0,1.0,13.167910447761194,13.167910447761194,13.167910447761194
300,600,7,887,887,1.0,1.0,12.113866967305524,12.113866967305524,12.113866967305524
300,600,8,829,829,1.0,1.0,12.41978287092883,12.41978287092883,12.41978287092883
300,600,9,879,879,1.0,1.0,11.550625711035268,11.550625711035268,11.550625711035268
300,600,10,867,867,1.0,1.0,11.777393310265282,11.777393310265282,11.777393310265282
300,600,11,883,883,1.0,1.0,11.090600226500566,11.090600226500566,11.090600226500566
650,950,0,1403,1305,0.9301496792587313,0.9768410096278949,2.739130434782609,2.8766283524904215,2.8766283524904215
650,950,1,1493,1421,0.9517749497655726,0.9842369238117984,2.8044206296048224,2.900070372976777,2.900070372976777
650,950,2,1490,1433,0.961744966442953,0.9895478300386276,2.953691275167785,3.039078855547802,3.0390788555478014
650,950,3,1514,1496,0.988110964332893,0.9982394366197183,3.001321003963012,3.0320855614973263,3.032085561497326
650,950,4,1451,1445,0.9958649207443143,0.9993255395683454,3.065472088215024,3.0761245674740483,3.0761245674740483
650,950,5,1523,1517,0.9960604070912672,0.9993615662907002,3.0853578463558766,3.095583388266315,3.0955833882663155
650,950,6,1449,1444,0.9965493443754313,0.9995624589805294,3.154589371980676,3.164127423822715,3.164127423822715
650,950,7,1475,1463,0.991864406779661,0.9980053191489362,3.058983050847458,3.0779220779220777,3.0779220779220777
650,950,8,1476,1466,0.9932249322493225,0.9989080585280629,3.1023035230352303,3.120054570259209,3.1200545702592084
650,950,9,1532,1495,0.9758485639686684,0.9964858335163629,2.9719321148825064,3.034782608695652,3.034782608695652
650,950,10,1445,1380,0.9550173010380623,0.9867419592438006,2.8186851211072663,2.9123188405797102,2.91231884057971
650,950,11,1479,1385,0.9364435429344151,0.9800535149598638,2.779580797836376,2.909025270758123,2.909025270758123
1050,1400,0,2303,562,0.24402952670429873,0.5149253731343284,0.6982197134172818,1.4733096085409252,1.4733096085409256
1050,1400,1,2351,650,0.276478094427903,0.5405405405405406,0.7711612079965972,1.5076923076923077,1.5076923076923077
1050,1400,2,2417,905,0.3744311129499379,0.6478802992518703,0.8295407529995863,1.4353591160220995,1.4353591160220995
1050,1400,3,2363,1049,0.44392721117223866,0.7299343765774862,0.8383410918324165,1.3784556720686367,1.378455672068637
1050,1400,4,2366,1185,0.5008453085376162,0.7729103726082578,0.8393913778529163,1.2953586497890295,1.2953586497890295
1050,1400,5,2269,1175,0.5178492728074041,0.7983914209115281,0.8219479947113266,1.2672340425531914,1.2672340425531916
1050,1400,6,2292,1197,0.5222513089005235,0.7950279046169457,0.8599476439790575,1.3091060985797829,1.3091060985797829
1050,1400,7,2326,1182,0.5081685296646603,0.786950074147306,0.8697334479793637,1.3468697123519457,1.346869712351946
1050,1400,8,2362,1051,0.4449618966977138,0.7301745635910224,0.8488569009314141,1.3929590865842054,1.3929590865842056
1050,1400,9,2338,864,0.369546621043627,0.6656050955414012,0.8058169375534645,1.4513888888888888,1.451388888888889
1050,1400,10,2361,724,0.30664972469292673,0.5771489588894821,0.7933079203727235,1.4930939226519337,1.4930939226519337
1050,1400,11,2282,560,0.24539877300613497,0.5281609195402299,0.7624890446976337,1.6410714285714285,1.6410714285714287
1400,1800,0,3121,76,0.024351169496956104,0.1206140350877193,0.29221403396347323,1.4473684210526316,1.4473684210526314
1400,1800,1,3187,97,0.030436146846564167,0.1584470094438615,0.29902729839974895,1.556701030927835,1.556701030927835
1400,1800,2,3345,131,0.039162929745889384,0.16911764705882354,0.32526158445440956,1.4045801526717556,1.4045801526717558
1400,1800,3,3390,182,0.05368731563421829,0.21408711770157554,0.3182890855457227,1.2692307692307692,1.2692307692307694
1400,1800,4,3173,199,0.06271667191931926,0.24684873949579833,0.30003151591553734,1.1809045226130652,1.1809045226130652
1400,1800,5,3082,232,0.07527579493835172,0.2722722722722723,0.32414016872160933,1.1724137931034482,1.1724137931034482
1400,1800,6,3050,252,0.08262295081967214,0.3059177532597793,0.32688524590163937,1.2103174603174602,1.2103174603174602
1400,1800,7,3165,212,0.06698262243285939,0.25265188042430087,0.3276461295418641,1.2358490566037736,1.2358490566037736
1400,1800,8,3287,181,0.055065409187709156,0.21686746987951808,0.3282628536659568,1.292817679558011,1.2928176795580113
1400,1800,9,3378,136,0.04026050917702783,0.16539196940726578,0.30965068087625813,1.2720588235294117,1.2720588235294117
1400,1800,10,3203,82,0.025600999063378083,0.1108719052744887,0.2900405869497346,1.2560975609756098,1.2560975609756098
1400,1800,11,3051,57,0.018682399213372666,0.0988235294117647,0.2785971812520485,1.4736842105263157,1.4736842105263157
