lo,hi,sample,variable,A,error,n
300,600,all_sim,mu,0.06913837028190177,0.01063742158178314,10357
300,600,all_sim,em,0.4059319985192223,0.016516956322135935,10357
300,600,SDrec,mu,0.06913837028190177,0.01063742158178314,10357
300,600,SDrec,em,0.4059319985192223,0.016516956322135935,10357
300,600,parquet,mu,0.06913837028190177,0.01063742158178314,10357
300,600,parquet,em,0.4059319985192223,0.016516956322135935,10357
650,950,all_sim,mu,0.06175453340245028,0.006091441965624042,17730
650,950,all_sim,em,0.47644521300325554,0.007676980180449523,17730
650,950,SDrec,mu,0.03972384305176951,0.005194170023607905,17250
650,950,SDrec,em,0.45781104357678365,0.007386122970380005,17250
650,950,parquet,mu,0.03972384305176951,0.005194170023607905,17250
650,950,parquet,em,0.45781104357678365,0.007386122970380005,17250
1050,1400,all_sim,mu,0.06763789315285965,0.013745140517842844,28030
1050,1400,all_sim,em,0.5196212819408275,0.005358902315513582,28030
1050,1400,SDrec,mu,-0.09452701645838728,0.011419572408991746,11104
1050,1400,SDrec,em,0.41893724961632667,0.005823455884685908,11104
1050,1400,parquet,mu,-0.09452701645838728,0.011419572408991746,11104
1050,1400,parquet,em,0.41893724961632667,0.005823455884685908,11104
1400,1800,all_sim,mu,0.05795344937702714,0.0149400118566244,38432
1400,1800,all_sim,em,0.5585454723117367,0.009158958782309419,38432
1400,1800,SDrec,mu,-0.10520943574199108,0.0225250402059777,1837
1400,1800,SDrec,em,0.4873716355019827,0.015136009179902692,1837
1400,1800,parquet,mu,-0.10520943574199108,0.0225250402059777,1837
1400,1800,parquet,em,0.4873716355019827,0.015136009179902692,1837
