rlo,rhi,tlo,thi,sample,A,error,n
1050,1200,30,40,all,0.06597681898408661,0.012193985796012892,11368
1050,1200,30,40,selected,-0.07030373745034627,0.01608940260403259,6643
1200,1350,30,40,all,0.06600888035437204,0.020055354025281302,12212
1200,1350,30,40,selected,-0.11392427070643545,0.015154974004983359,3694
1150,1250,34,36,all,0.07025847430167313,0.03922909920889134,1635
1150,1250,34,36,selected,-0.09421917041489533,0.044233464161822986,679
1050,1400,30,35,all,0.06846251129593696,0.01774070824633852,13427
1050,1400,30,35,selected,-0.06376104449626455,0.013130382415115329,5677
1050,1400,35,40,all,0.0671620765419351,0.018099264530167837,14603
1050,1400,35,40,selected,-0.13027035120913882,0.020177521290514738,5427
