D,Q,turnover,threshold,SD,UMD
4000,0.12,0.0,fixed,0.2926758689299403,-0.20455622355977057
4000,0.12,0.0,angle,0.2926758689299403,0.42852181421042135
4000,0.12,0.5,fixed,0.17308006137817739,-0.23887246727173808
4000,0.12,0.5,angle,0.17308006137817739,0.3534765545045469
4000,0.12,2.0,fixed,0.033329620260046766,-0.2971726727854914
4000,0.12,2.0,angle,0.033329620260046766,0.22639550174975626
4000,0.2,0.0,fixed,0.3219341419184887,0.05661622289287243
4000,0.2,0.0,angle,0.3219341419184887,0.44692128254929514
4000,0.2,0.5,fixed,0.21222626927176094,0.02077799636056625
4000,0.2,0.5,angle,0.21222626927176094,0.37680772469856944
4000,0.2,2.0,fixed,0.07803404838662091,-0.04280700707446502
4000,0.2,2.0,angle,0.07803404838662091,0.25602401096704663
4000,0.3,0.0,fixed,0.35070863629530213,0.19038737848543622
4000,0.3,0.0,angle,0.35070863629530213,0.4580003415138379
4000,0.3,0.5,fixed,0.24706459524967478,0.1548188105038946
4000,0.3,0.5,angle,0.24706459524967478,0.3924421989245314
4000,0.3,2.0,fixed,0.11696763219818113,0.08962885115553987
4000,0.3,2.0,angle,0.11696763219818113,0.27815797144980375
7500,0.12,0.0,fixed,0.191960894830512,0.07511967828902061
7500,0.12,0.0,angle,0.191960894830512,0.26527582275187617
7500,0.12,0.5,fixed,0.14142938477001857,0.054064563819048346
7500,0.12,0.5,angle,0.14142938477001857,0.22945838823002215
7500,0.12,2.0,fixed,0.06839283047508075,0.014732021197703548
7500,0.12,2.0,angle,0.06839283047508075,0.16426319648501672
7500,0.2,0.0,fixed,0.19760366416350716,0.1550394941915465
7500,0.2,0.0,angle,0.19760366416350716,0.2709794123857356
7500,0.2,0.5,fixed,0.1530084961014129,0.13463951909287267
7500,0.2,0.5,angle,0.1530084961014129,0.23821027119468263
7500,0.2,2.0,fixed,0.08654283844516748,0.09542797625800122
7500,0.2,2.0,angle,0.08654283844516748,0.17777073654962153
7500,0.3,0.0,fixed,0.20301352109514084,0.19468464273821737
7500,0.3,0.0,angle,0.20301352109514084,0.2740589767204619
7500,0.3,0.5,fixed,0.16266382609210336,0.17516964461831627
7500,0.3,0.5,angle,0.16266382609210336,0.24403805073059062
7500,0.3,2.0,fixed,0.10152169646410909,0.13694942256653705
7500,0.3,2.0,angle,0.10152169646410909,0.18823047906374954
12000,0.12,0.0,fixed,0.12730789709678525,0.10268281667948545
12000,0.12,0.0,angle,0.12730789709678525,0.17364311647018474
12000,0.12,0.5,fixed,0.10218633472680501,0.08978687111189913
12000,0.12,0.5,angle,0.10218633472680501,0.15431626156078826
12000,0.12,2.0,fixed,0.06113623317028251,0.06427477845749589
12000,0.12,2.0,angle,0.06113623317028251,0.11720188896564437
12000,0.2,0.0,fixed,0.12891664314420143,0.13298195439456226
12000,0.2,0.0,angle,0.12891664314420143,0.17584341243876372
12000,0.2,0.5,fixed,0.1072339723454275,0.1208249639862692
12000,0.2,0.5,angle,0.1072339723454275,0.15853482358177665
12000,0.2,2.0,fixed,0.07093014147079887,0.09628058772906739
12000,0.2,2.0,angle,0.07093014147079887,0.12494783887085803
12000,0.3,0.0,fixed,0.13014793943031744,0.14779621963841516
12000,0.3,0.0,angle,0.13014793943031744,0.17696427450466204
12000,0.3,0.5,fixed,0.1110252334340964,0.1364357019666334
12000,0.3,0.5,angle,0.1110252334340964,0.16138567673064033
12000,0.3,2.0,fixed,0.07854641847336434,0.11322719909563143
12000,0.3,2.0,angle,0.07854641847336434,0.13098220765061092
